tiempo,voltaje
26:46.0,0.0224116
26:46.0,0.0122304
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,0.0122304
26:46.0,2.88331
26:46.0,1.51904
26:46.0,0.0122304
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,0.0122304
26:46.0,2.88331
26:46.0,0.0122304
26:46.0,0.0224116
26:46.0,2.88331
26:46.0,2.88331
26:46.0,0.0325927
26:46.0,0.0529549
26:46.0,0.0936794
26:46.0,0.0122304
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,2.87312
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,2.82222
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,2.87312
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,2.87312
26:46.0,0.0122304
26:46.0,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.88331
26:46.1,2.87312
26:46.1,0.0325927
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.88331
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,2.88331
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.88331
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.36407
26:46.1,2.00773
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0529549
26:46.1,0.124223
26:46.1,0.266758
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,2.85276
26:46.1,0.358388
26:46.1,0.91835
26:46.1,0.36857
26:46.1,0.0122304
26:46.1,2.87312
26:46.1,2.87312
26:46.1,2.87312
26:46.1,0.0122304
26:46.1,0.0122304
26:46.2,2.87312
26:46.2,2.87312
26:46.2,2.87312
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,0.0224116
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,2.88331
26:46.2,0.063136
26:46.2,0.164947
26:46.2,2.79168
26:46.2,2.40479
26:46.2,1.81429
26:46.2,2.87312
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,2.87312
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,2.87312
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,0.0122304
26:46.2,2.87312
26:46.2,0.0224116
26:46.2,0.0325927
26:46.2,0.063136
26:46.2,0.134404
26:46.2,2.77131
26:46.2,2.36407
26:46.2,1.84483
26:46.2,0.0122304
26:46.2,0.0122304
